"production_companies","production_countries"
"HBO Pictures","Hungary"
"International Traders","United States of America"
"Tabasco films","Canada"
"Eden Rock Media","Canada"
"Filmatelieret Flamingo","Denmark"
"Limbridge","United States of America"
"Homeless Bob Production","Estonia"
"Les Films du Jeudi","France"
"Cinema 23 Film","Italy"
"Slovenská filmová tvorba Koliba (SFT)","Slovakia"
"Ruut","Estonia"
"F-Seitse","Estonia"
"Slovak Film","Czechoslovakia"
"Allfilm","Estonia"
"Mahagonny Pictures","United States of America"
"Golden Horse Productions","Canada"
"Rai Cinemafiction","United States of America"
"Arnold and Gregor Production","Estonia"
"Eetriüksus","Estonia"
"Matila Röhr Productions (MRP)","Estonia"
"Taska Film","Estonia"
"Exitfilm","Finland"
"Fortissimo Films","Hong Kong"
"Halo Productions","United Kingdom"
"Acuba Film","Estonia"
"Eesti Telefilm","Estonia"
"Vitamin K Film","Estonia"
"Matila Röhr Productions (MRP)","Russia"
"John Argyle Productions","United Kingdom"
"Hallmark Entertainment","none"
"G7 Cinema","Brazil"
"Torus","China"
"Beacon Productions (III)","United States of America"
"Garance","France"
"Sunn Classic Pictures","United States of America"
"Frontier Films","Australia"
"Trionfalcine","Italy"
"Kalender Films International","Spain"
"United Productions of America (UPA)","United States of America"
"Fondo de Fomento a la Calidad Cinematográfica","France"
"Lenox Films","France"
"Cinegram","Greece"
"Lucasfilm","none"
"Hamdon Entertainment","United States of America"
"Amulet Pictures","Canada"
"Futra Film","France"
"Zee Films Ltd.","New Zealand"
"Anna Sanders Films","France"
"Station B","United States of America"
"CAAMA Productions","Australia"
"Directors System Co.","Japan"
"Lyric Films International","United States of America"
"Penta Pictures","Italy"
"Strada Films","Greece"
"Nikkatsu","France"
"Ceskoslovenská Televize","Czechoslovakia"
"Guión Producciones Cinematográficas","Spain"
"Els Films de la Rambla S.A.","Spain"
"Transglobe Italiana","Italy"
"DR TV-Teatret","Denmark"
"William F. Broidy Productions","United States of America"
"Dynamic","Italy"
"Point Blank Films","none"
"Intandem Films","United Kingdom"
"Infinity Prague","Czech Republic"
"Working Title Television","United Kingdom"
"Sideshow Pictures","United States of America"
"CTB Film Company","France"
"Wytwórnia Filmów Dokumentalnych (WFD)","Poland"
"The Film Company","Germany"
"Paper Street Films","United States of America"
"Arte France Cinéma","France"
"Why Not Productions","Germany"
"Canal+","Belgium"
"Isolar","United States of America"
"Insan Film","Hong Kong"
"Cinémaginaire Inc.","Canada"
"Jack Schwarz Productions","United States of America"
"DiC Entertainment","United States of America"
"Finecut","Argentina"
"Rialto Film","Denmark"
"Novaris Film","Denmark"
"Miasma Films","United States of America"
"River One Films","United States of America"
"Sands Films","United Kingdom"
"DiC Entertainment","France"
"Scott R. Dunlap Productions","United States of America"
"Al-Ahramm Studios","Egypt"
"Samuel Goldwyn Company","United States of America"
"Best Entertainment AG","South Korea"
"De Laurentiis Entertainment Group (DEG)","Mexico"
"Trans World Entertainment (TWE)","Italy"
"Lanterna Magica","France"
"Giant Films","United Kingdom"
"Albert Band International Productions Inc.","United States of America"
"Stormheart Oy","Finland"
"Olmo Films S.L.","France"
"Aleph Media","Argentina"
"Points North Film","United States of America"
"Bluesun Films Ltd","Iraq"
"Ceskoslovensky Statni Film (Vyrobina Skupina Vavra-Feix)","Czechoslovakia"
"Swedish Film Production (SFP)","France"
"Manson International","Canada"
"Stella Films","France"
"Imar Film Co., Ltd.","Taiwan"
"Erato Films","Germany"
"Canal Plus Group","France"
"Black Orange Productions S.A","Greece"
"Finos Film","Greece"
"Arts Council of England","Canada"
"International Film Service","United States of America"
"Terra-Filmkunst","Italy"
"MAFILM Hunnia Stúdió","Hungary"
"Bass Entertainment Pictures","United States of America"
"Friland AS","Norway"
"No Pressure Productions","India"
"De Laurentiis","Germany"
"Speed Films","United States of America"
"Pickled Punk Pictures","United States of America"
"Maysles Films","United States of America"
"Grupa Filmowa","Poland"
"Scout Productions","United States of America"
"Chadwick Pictures Corporation","United States of America"
"GW Films","United Kingdom"
"Lake Street Productions","United States of America"
"Overseas FilmGroup","France"
"Twisted Pictures","United States of America"
"Splendid Entertainment","Hong Kong"
"Lunacy Unlimited Productions","United States of America"
"Euroarts","Germany"
"TLA Releasing","Thailand"
"Rock Films","Russia"
"Original Pictures","United Kingdom"
"ITC Films","United Kingdom"
"Alberta Filmworks","United States of America"
"Interstellar Media Productions","United States of America"
"Danziger Productions Ltd.","United States of America"
"Films Diamant","France"
"Goatworks Films","Greece"
"Sveriges Television (SVT)","Finland"
"Nais Film","Italy"
"Tiny Ponies","United States of America"
"Ying E Chi","Canada"
"BoSD Films LLC","United States of America"
"Astral Productions","United States of America"
"RSA Films","United Kingdom"
"Poison L.P.","United States of America"
"Falcon Pictures Corporation","United States of America"
"Turbulent Arts","Canada"
"Redwire Pictures","United States of America"
"Jim Henson Company, The","none"
"Group Film Productions","United Kingdom"
"B.T.O. Films","United States of America"
"Rainer Werner Fassbinder Foundation","Germany"
"Dieter Geissler Filmproduktion","Austria"
"Village Films","Greece"
"Robert Greenwald Productions","United States of America"
"Buc-Film","Czech Republic"
"Les Films Marceau","France"
"Filmauro","Spain"
"Filmové Studio Barrandov","Czechoslovakia"
"Anzervos","Greece"
"Athens Film Company","Greece"
"Dean River Productions","none"
"Ελληνικό Κέντρο Κινηματογράφου, ΕΡΤ","Greece"
"Rogue Culture Productions","United States of America"
"Lanterna Magica","Italy"
"Shanghai Animation Film Studio","China"
"Superpower Productions","United States of America"
"Thud Rumble!","United States of America"
"Millas Film","Greece"
"Th. Damaskinos & V. Michaelides","Greece"
"Cinévidéo","Canada"
"Thanasis Vengos Tainies Geliou","Greece"
"Cannon Group","United Kingdom"
"Леополис","Russia"
"Walt Disney Studios Motion Pictures","United States of America"
"Burr Jerger","Belgium"
"Magnolia Filmproduktion","Germany"
"Freedom Reign Productions","none"
"zootrope","France"
"Viens Films","United States of America"
"Lantana","United States of America"
"Ruby in Paradise","United States of America"
"Orion Pictures","Netherlands"
"Lakeshore Drive Entertainment","United States of America"
"Como Film","France"
"Filmové Studio Bratislava","Slovakia"
"FilmDallas Pictures","United States of America"
"UniKorea Pictures","South Korea"
"3 Arts Entertainment","United States of America"
"Cinematográfica Sol","Mexico"
"M.R.S. Pictures Inc.","United States of America"
"Polyband","none"
"Murali Manohar Production","India"
"Charles M. Schulz Creative Associates","United States of America"
"Little Wing Films","United Kingdom"
"The Legend Lives Company","United States of America"
"Odeon Film","Greece"
"Sally Head Productions","United Kingdom"
"Ingenious Media","United States of America"
"Alex Coletti Productions","Ireland"
"Pete Walker Film Productions","United Kingdom"
"Burton","none"
"Sonet Film","Sweden"
"Pope Productions","Canada"
"Amicus Productions","United States of America"
"Eyeline Productions","United Kingdom"
"Noble House Film & Television","Canada"
"Jigsaw Productions","United States of America"
"Office Academy","Japan"
"MelinaFilm","France"
"Mirofilm","Czech Republic"
"Meteor Film Productions","Germany"
"Braun Entertainment Group","United States of America"
"Chop Shop Entertainment","United States of America"
"Ministry of Information","United Kingdom"
"Jules Verne Films Ltd","United Kingdom"
"William Conrad Productions","United States of America"
"Radio Télévision Belge Francophone (RTBF)","Belgium"
"Studio Babelsberg","France"
"Televisión Española (TVE)","France"
"Showcase Entertainment, Inc.","United States of America"
"M & L Pty Limited","United States of America"
"Citadel Entertainment","United States of America"
"ITC Movie","Italy"
"New Horizon Picture Corp","Argentina"
"Honekoubou","Japan"
"DREAMMAX.Co.","South Korea"
"Filmirage S.r.l.","Italy"
"Rosemont Productions","Australia"
"Roger Corman Productions","United States of America"
"The Criterion Collection","France"
"Bavaria Atelier","Germany"
"Greek Television ET-1","France"
"Unidis","France"
"Eisei Gekijo","Japan"
"Projektions-AG Union (PAGU)","Germany"
"Emerald Productions Inc.","United States of America"
"Tristone Entertainment Inc.","Japan"
"Recorded Pictures Company","Switzerland"
"Fong Cheng Film","Hong Kong"
"Skopia Film","Poland"
"Aquafilms","Argentina"
"Dan Films","United Kingdom"
"TLA Releasing","Austria"
"Office national du film du Canada (ONF)","Canada"
"Filmalpha","Italy"
"Yu-Yun Film Co","Hong Kong"
"Rozwój Film Production","Poland"
"The Antria Group (TAG)","United States of America"
"Balázs Béla Stúdió","Hungary"
"Trillion Entertainment","United States of America"
"Matchstick Productions","none"
"Tradewind Pictures","Denmark"
"Telefilm Saar GmbH","Germany"
"Benmar Productions","United Kingdom"
"Stinkdigital","United Kingdom"
"Wild Coast Film Pty. Ltd.","South Africa"
"Lucky Star Film Co.","South Korea"
"Les Établissements Jacques Haïk","France"
"rebel one pictures","United States of America"
"Sirk Productions","United States of America"
"Cookie Jar Entertainment","Canada"
"C.G.K. Productions","United States of America"
"Mohan Pictures","India"
"Raam Raj Kalamandir's","India"
"Fish Eye Network [P] Ltd","India"
"Vaca Films","Spain"
"Filmpool Nord","Finland"
"NHK","Philippines"
"PIAS","United Kingdom"
"Chubu-nippon Broadcasting","Japan"
"Mantarraya Producciones","Mexico"
"Illustra Media","United States of America"
"Desert Productions","United States of America"
"Continental Producciones","Spain"
"Shadow Theatre Films","United Kingdom"
"Agua Films","Argentina"
"Películas Anahuac S.A.","Mexico"
"Filmex","France"
"UPP","Austria"
"R.S. Film","Thailand"
"Huayi Brothers","Hong Kong"
"Jaffe / Braunstein Enterprise","United States of America"
"Gloria Films","France"
"Atomic Television","United States of America"
"Three Mills Studios","Germany"
"Aplomb Motion Pictures","India"
"Jaspal Bhatti Productions","India"
"SMV Enterprises","United States of America"
"The Harvey Boys","United States of America"
"Ikiru Films","Brazil"
"Coralta Cinematografica","Italy"
"Studio Images 2","France"
"Film and Co.","France"
"Athena Productions","United States of America"
"Beta Film","France"
"CinéTé Filmproductie BV","Belgium"
"JAVN","Japan"
"Studio Nue","Japan"
"Czech Television","Czech Republic"
"Myriad Pictures","United Kingdom"
"Kindred Limited Partnership","United States of America"
"Nippon Animation","Japan"
"Mosfilm","Kyrgyz Republic"
"KASK","Belgium"
"Bangor Films","United States of America"
"IDI Cinematografica","France"
"Longfellow Productions","United States of America"
"Viacom 18 Motion","Thailand"
"Future Film Group","Italy"
"UFA Filmproduktion GmbH","Austria"
"Mindwalk","United States of America"
"fridthjof film","Denmark"
"La Générale d'Images","France"
"Bigfoot Entertainment","Philippines"
"Mangusta Productions","Switzerland"
"Quiet Village Filmkunst","Germany"
"Impact Productions LLC","United States of America"
"Raaj Kamal Films International","India"
"Agnes Delahaie Productions","France"
"First Floor Features","United Kingdom"
"Vsesoyuznyj Gosudarstvennyj Institut Kinematografii (VGIK)","Russia"
"Non-Stop Productions","Russia"
"Comet Film Produktion GmbH","Germany"
"Les Films Ariane","Netherlands"
"Egmont Film","Denmark"
"Cinequanon","Argentina"
"Hedge Productions","United States of America"
"Still Night Monster Movies","United States of America"
"TVC","United Kingdom"
"Teton Gravity Research","United States of America"
"Scatena & Rosner Films","United States of America"
"Free Lunch Productions","United States of America"
"Nederlander Television & Film Productions","United States of America"
"Illusions Entertainment Corporation","Canada"
"Spiegel TV","Germany"
"Tatfilm","Germany"
"Neoplanta Film","Serbia"
"Buffalo Gal Pictures","Canada"
