"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"66-1994","tt0108494","The Village",1993,"N/A","14 min","Animation, Short","Mark Baker","Mark Baker","Annie Griffin, Dave Western, James Baker","A village is ruled by the church, but it filled with hypocritical sinners who constantly spy on each other.","None","United Kingdom","Nominated for 1 Oscar. 8 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTRlMWI5ZDQtNWViNS00MjgzLWEwYTMtNjQ4ODBlMThiYmE3XkEyXkFqcGdeQXVyOTIxNDQ1MTQ@._V1_SX300.jpg","N/A","7.5","373","tt0108494","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"66-1994","tt0108498","The Screw",1993,"N/A","20 min","Short","Didier Flamand","Didier Flamand, Pierre-Alain Mercier","Jean Reno, Maïté Nahyr, François Berléand","Mr. K is a do-it-yourselfer and he works very seriously. One day he has a problem with one of his screws. Furious, he decides to complain at the administration office of the Department Store of Non Ferrous Metals!...","French","France","Nominated for 1 Oscar. 3 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BYTRmMWY5NWUtN2MwZS00NWQ3LWE4Y2UtMDZhNTIyYzExNmYxXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","7.5","132","tt0108498","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"67-1995","tt0110183","The Janitor",1995,"N/A","4 min","Animation, Comedy, Short","Vanessa Schwartz","Geoffrey Lewis","Geoffrey Lewis","A mildly-irreverent reinterpretation of bible events, with God's janitor claiming, by virtue of covering up his own lapses, credit for everything from the Flood to the Ascension!","English","Canada, United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWZmM2M3ZTctYTEzNS00MDAwLWIyZTMtMDIxOTlmYTNhZDc4XkEyXkFqcGdeQXVyMjY0MzgwMTc@._V1_SX300.jpg","N/A","5.8","114","tt0110183","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"67-1995","tt0110239","Kangaroo Court",1994,"N/A","33 min","Short","Sean Astin","Laurence Andries","John Colton, Gregory Hines, Stoney Jackson","A black city attorney is forced to defend a white cop who's being held hostage by a gang seeking revenge for a young boy' murder.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BY2M0MjE4NDYtYWY5Ny00ODI0LWJlNmMtMzBmZGUxNDJlZjk1XkEyXkFqcGdeQXVyODg4MjIwMTg@._V1_SX300.jpg","N/A","8.1","130","tt0110239","movie",NA,NA,NA,NA,"8.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"67-1995","tt0110726","On Hope",1994,"N/A","34 min","Short","JoBeth Williams","Lynn Mamet","Annette O'Toole, Mercedes Ruehl, Ray Baker","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.1","45","tt0110726","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"67-1995","tt0111338","Syrup",1994,"N/A","11 min","Comedy, Short","Paul Unwin","Nick Vivian","Bill Thomas, Annette Badland, Anne Carroll","A man's life changes when he gets a hairpiece.","English","United Kingdom","Nominated for 1 Oscar. 1 win & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMTA1NDYzM2MtNDE4YS00NjRkLWJiYjktZjliNTQ3NTQ5NTM0XkEyXkFqcGdeQXVyMzY2ODUzMjA@._V1_SX300.jpg","N/A","7.1","59","tt0111338","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"67-1995","tt0111489","Triangle",1994,"N/A","9 min","Animation, Short","Erica Russell","N/A","Cindy Creekmore","Tension rises when a second woman joins a dancing couple.","N/A","United Kingdom","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWJhNGVlY2MtOTAwYi00MjgzLThmMjMtNWQ3ZGQyY2I5ZGYxXkEyXkFqcGdeQXVyNjQzMjk4MDQ@._V1_SX300.jpg","N/A","6.6","125","tt0111489","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"68-1996","tt0112584","Brooms",1996,"N/A","16 min","Short, Music","Luke Cresswell, Steve McNicholas","Luke Cresswell, Steve McNicholas","Luke Cresswell, Theseus Gerard, Fiona Wilkes","A single street sweeper faces the odorous task of cleaning up the city market:a motley selection of other, more idiosyncratic street cleaners join him as his sweeping transforms into a dynamic celebration of rhythm. Loosely based upo","None","United Kingdom","Nominated for 1 Oscar. 1 win & 2 nominations total","N/A","N/A","7.7","64","tt0112584","movie",NA,NA,NA,NA,"7.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"68-1996","tt0112661","The Chicken from Outer Space",1996,"N/A","8 min","Animation, Short, Comedy","John Dilworth","John Dilworth","Howard Hoffman","In this pilot for Courage the Cowardly Dog (1999), Courage, the cowardly dog of an oblivious elderly couple that lives on a remote farm, must defend them from a malicious space chicken bent on conquest and its mutagenic eggs.","English","United States","Nominated for 1 Oscar. 8 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BYjAzZjA2ZTQtNDM2MC00MjZkLWE3YTktZmY1Y2Y1ZjYwNTE0XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg","N/A","7.7","648","tt0112661","movie",NA,NA,NA,NA,"7.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"68-1996","tt0112958","The End",1995,"N/A","6 min","Animation, Short","Chris Landreth","Chris Landreth, Robin Bargar","Jeffrey Hirschfield, Gina Clayton, Hannah Kravitz","An animator finds himself trying to explain his (lack of) artistic vision to his creations, who just aren't impressed.","English","Canada","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTViNmU3OTEtMTlkZi00ODg2LWEzMTktNjBlNWRmMmNjZjBjXkEyXkFqcGdeQXVyODA3MDk1Nzg@._V1_SX300.jpg","N/A","6.1","262","tt0112958","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"68-1996","tt0113138","Gagarin",1994,"N/A","3 min","Animation, Short, Comedy","Aleksey Kharitidi","Aleksey Kharitidi","N/A","A young caterpillar yearns to fly like the butterflies and birds, but cannot launch himself high enough to do so - until a couple start playing badminton nearby.","Russian","Russia","Nominated for 1 Oscar. 5 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BYTAzZWRlMGUtZjk0OC00ZWJhLTkyZmMtOTdjMWZhZGNmZDdiXkEyXkFqcGdeQXVyNjc1MDU0NDA@._V1_SX300.jpg","N/A","7.0","575","tt0113138","movie",NA,NA,NA,NA,"7.0/10",NA,NA,4,2022-02-24,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"68-1996","tt0114742","Tuesday Morning Ride",1995,"N/A","35 min","Short, Drama","Dianne Houston","Arna Bontemps, Dianne Houston","Vivian Bonnell, Bill Cobbs, Vondie Curtis-Hall","Tuesday Morning Ride was based on the short story ""A Summer Tragedy"", by Arna Bontemps, a Harlem Renaissance writer. Set in the 1930s, the story depicts an old man and woman who feel they have nothing to live for, since their childre","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","7.4","52","tt0114742","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"68-1996","tt1614420","Troublesome Creek: A Midwestern",1995,"Unrated","88 min","Documentary","Steven Ascher, Jeanne Jordan","Steven Ascher, Jeanne Jordan","Bob Blankenship, Dean Eilts, Marge Harold","Troublesome Creek is the acclaimed story of the Jordan family's gamble to save their Iowa farm. From fighting the Crooked Creek Gang in 1867 to fighting off the bank today. An Oscar-nominated cliffhanger about history, humor and the","English","United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZGRlOTk3YzEtNGI4Yy00NWM0LTk2YTEtYTExYzgyOWZmNDEyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","N/A","7.1","73","tt1614420","movie",NA,NA,NA,NA,"7.1/10",NA,"82%",NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"69-1997","tt0115817","Canhead",1996,"N/A","8 min","Animation, Short, Fantasy","Timothy Hittle","Timothy Hittle","N/A","A clay man encounters a sweet blue clay dog, only to lose track of him during a protracted battle with a huge metal creature. A surreal landscape of cans, bottles, scrap metal, oil, and fissures threaten the protagonist. How will he","English","United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BOWYwYjQwYmQtNjJjNS00OWE5LWJmMTUtMzVkOTA5YTg5MWUyXkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","6.7","194","tt0115817","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"69-1997","tt0116044","De tripas, corazÃ³n",1996,"N/A","16 min","Comedy, Short","Antonio Urrutia","Antonio Urrutia","Elpidia Carrillo, Gael García Bernal, Martín Altomaro","The coming-of-age story of young milk-boy Martín. While his friends Jesús and Roberto are cocky and apparently they have a lot of experience in sex, and boast about their supposed sexual experiences, he is shy, quiet and still virgin","Spanish","Mexico","Nominated for 1 Oscar. 4 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTNiYWM0MzEtZTEyMC00MzBhLWJlODAtNDgwOWFlMTNiNGRkXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg","N/A","7.5","166","tt0116044","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"69-1997","tt0116214","Ernst & lyset",1996,"Not Rated","12 min","Short, Comedy","Anders Thomas Jensen, Tomas Villum Jensen","Anders Thomas Jensen","Jens Jørn Spottag, Søren Østergaard, Jesper Bæhrenz","The businessman Ernst has just landed in the airport and is on his way home to his wife. Its raining heavy outside and therefore he takes a hitchhiker with him. They start a conversation about the value of life and soon it becomes ev","Danish","Denmark","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTFjMjhlOWItMDA1YS00OGUzLWEzNDQtODc0NzcxZWY2NDMyXkEyXkFqcGdeQXVyMjQzNzk2ODk@._V1_SX300.jpg","N/A","7.4","602","tt0116214","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"69-1997","tt0116233","Linked",1996,"N/A","24 min","Comedy, Short","Juan Carlos Fresnadillo","Fredric Brown, Juan Carlos Fresnadillo, Jesús Olmo","Pedro Mari Sánchez, Anabel Alonso, Germán Cobos","Antonio and Concha, a couple who are constantly fighting about money, win the Christmas Lottery first prize. Concha, who is very bossy, starts making decisions about how they're going to spend it. But Antonio is fed up with her, he j","Spanish","Spain","Nominated for 1 Oscar. 8 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BODZiZDc4MTYtOGE5My00ZjMyLTgxYjAtZjU4MDc0OTUyZmRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQzMjAxMDE@._V1_SX300.jpg","N/A","7.2","233","tt0116233","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"69-1997","tt0118191","Senza parole",1996,"N/A","9 min","Short","Antonello De Leo","Francesca Panzarella, Franca de Angelis","Luca Amorosino, Fabio Camilli, Rosa Masciopinto","A man falls in love with a deaf girl. He learns sign language and pretends to be mute in order to woo her.","Italian","Italy","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","6.6","38","tt0118191","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"70-1998","tt0130860","Mermaid",1997,"N/A","10 min","Animation, Short, Fantasy","Aleksandr Petrov","Aleksandr Petrov, Marina Vishnevetskaya","Evgeniya Smolyaninova","An elderly monk, while training the young novice who will succeed him, recalls the mysterious lost love of his past - just as his young successor appears to be encountering her himself.","Russian","Russia","Nominated for 1 Oscar. 6 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BYmFkNjg3YWItMTMxZi00MmVmLWFjNTktZmFmZjRhOTZjOWMwXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg","N/A","7.8","1,077","tt0130860","movie",NA,NA,NA,NA,"7.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"70-1998","tt0141401","It's Good to Talk",1997,"N/A","14 min","Short","Roger Goldby","Roger Goldby","Elizabeth Bradley, Martin Clunes, Diane Fletcher","Five people have trouble with telephones.","English","United Kingdom","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.1","38","tt0141401","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"70-1998","tt0141868","Skal vi vÃ¦re kÃ¦rester?",1997,"N/A","11 min","Family, Short","Birger Larsen","N/A","Charlotte Munksgaard, Malou Olsen, Ole Schmidt","A boy tries to win a girl's heart through the art of music.","N/A","Denmark","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BZjI4ZmFmODAtYWQ1ZS00ZmMxLTg5MmEtOTg0YzljNmFmZDIwXkEyXkFqcGdeQXVyMzQ3NTE0ODM@._V1_SX300.jpg","N/A","6.9","60","tt0141868","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"70-1998","tt0141995","Wolfgang",1997,"N/A","14 min","Short","Anders Thomas Jensen","Anders Thomas Jensen","Stig Hoffmeyer, Frits Helmuth, Vera Gebuhr","A composer with a straining birth name is caught between his mother fixation and his need to father his own ambitions.","Danish","Denmark","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BY2NkYzIxOWEtYzM3ZS00NzYxLTk5NDQtZWE5NTA5NTRkNGUzXkEyXkFqcGdeQXVyNDc3NDk5Mw@@._V1_SX300.jpg","N/A","6.7","198","tt0141995","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"71-1999","tt0188478","The Canterbury Tales",NA,"N/A","28 min","Animation","N/A","N/A","Robert Lindsay, Neil Dudgeon, Michael Feast","Animated adaptation of Chaucer's famous narrative poems, using a variety of groundbreaking animation techniques. On a pilgrimage from London to the tomb of Thomas Becket in Canterbury, a group of travellers from all walks of medieval","English, Middle English","Russia, United Kingdom","Nominated for 1 Oscar. 9 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTg5NzY0MjExOF5BMl5BanBnXkFtZTcwNjAxMDkyMQ@@._V1_SX300.jpg","N/A","6.4","207","tt0188478","series",TRUE,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"71-1999","tt0188485","The Postcard",1998,"N/A","18 min","Family, Short, Drama","Vivian Goffette","Vivian Goffette","Martin Viot, Stéphane Auberghen, Laurence César","N/A","French","Belgium","Nominated for 1 Oscar. 6 wins & 2 nominations total","N/A","N/A","7.3","33","tt0188485","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"71-1999","tt0188533","Culture",1997,"N/A","29 min","Short, Comedy","Josh Gordon, Will Speck","Will Speck, Josh Gordon","Greg Germann, Florence Stanley, Philip Seymour Hoffman","N/A","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","6.6","62","tt0188533","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"71-1999","tt0188667","Holiday Romance",1998,"N/A","19 min","Comedy, Short","J.J. Keith","Clive Hopkins","Oliver Milburn, Eva Pope","A would-be thief enters a house and finds plenty of reasons to make himself at home. Chief among them is the fact that he can't leave, having been trapped by his 'victim' and forced to look after the place while she's on vacation. Ca","English","United Kingdom","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTUxNDc2MDQ4MF5BMl5BanBnXkFtZTcwNDM3OTUxMQ@@._V1_SX300.jpg","N/A","6.8","115","tt0188667","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"71-1999","tt0189186","Victor",1998,"N/A","18 min","Short, Family","Joel Bergvall, Simon Sandquist","Joel Bergvall, Simon Sandquist","Anton Bäckman, Sara Lindh, Thomas Hedengran, Catherine Hansson","N/A","Swedish","Sweden","Nominated for 1 Oscar. Another 1 win.","N/A","N/A","7.8","43","tt0189186","movie",NA,NA,NA,NA,"7.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"72-2000","tt0191850","Theis and Nico",1999,"N/A","20 min","Short, Family","Henrik Ruben Genz","Michael W. Horsten","Aksel Leth, Maurice Blinkenberg-Thrane, Tess Thorsen","The two brothers Theis and Nico find a poster from ""Gone with the Wind"" and they start talking about why people kiss and the techniques behind it. Later they meet Giinjha and she invites them to her birthday-party. While they are pre","Danish","Denmark","Nominated for 1 Oscar. 5 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZmQ5NGJhNzgtNTE3ZC00NmZjLWE4YTUtNzM5YzM4NjMzNTAzXkEyXkFqcGdeQXVyOTM2MTY3MQ@@._V1_SX300.jpg","N/A","6.8","80","tt0191850","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"72-2000","tt0200780","Kleingeld",1999,"N/A","15 min","Short, Drama","Marc-Andreas Bochert","Marc-Andreas Bochert","Frank Lienert, Rolf Fahrenkrog-Petersen, Kerstin Nikodemus","Herr Hoffman parks his late-model car in a lot across from his corner office on the top floor. Each day, he puts a coin in the cup of a beggar who stands in front of the building. One day, Hoffman looks out his window and notices the","German, Japanese, English","Germany","Nominated for 1 Oscar. 9 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BYWI5OGVhN2MtMzYzMi00MGVmLWEyZmQtYjllMDA3YjQ2ZTcxXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg","N/A","7.5","335","tt0200780","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"72-2000","tt0236386","Killing Joe",1999,"N/A","41 min","Short","Mehdi Norowzian","Chris Fallon","Daniel Bliss, Hannes Dükler, Ellie Haddington","In 1963, teenager Joe is fascinated by John F. Kennedy, whose initials he shares.","English","United Kingdom","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDdmMWQxNDgtYzI3ZC00MGY2LWE3ODAtODExYzU4NDczYzIwXkEyXkFqcGdeQXVyMjQwNzIyMzM@._V1_SX300.jpg","N/A","6.4","74","tt0236386","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"72-2000","tt0239206","3 Misses",1998,"N/A","11 min","Animation, Short, Comedy","Paul Driessen","Paul Driessen","N/A","Three interlocking tales of damsels in distress. An urban scene: a man sees a woman fall off the roof of the neighboring apartment building. A Western scene: a cowboy hears a woman tied to the railroad tracks and an approaching train","None","Netherlands","Nominated for 1 Oscar. 3 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BYjc1MTcyYjctMDdkMS00OTZiLWJhOGQtNGI2OTIzODY3ZmZiXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg","N/A","5.9","310","tt0239206","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"72-2000","tt0239583","Stora & smÃ¥ mirakel",1999,"N/A","25 min","Short","Marcus Olsson","Pia Gradvall","Brasse Brännström, Göran Graffman, Magnus Krepper","Miracles, in Sweden? A village curate with paltry attendance at his services gets a call one Sunday in December to meet an emissary from the Vatican who has come to test a child for special powers (he's the young son of a farming cou","Swedish","Sweden","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjgzYTRiNTItNWY0Ni00ZGYxLWJlNjctN2Y5NGMyMzMxZmUzXkEyXkFqcGdeQXVyMjA4Mzk2Njg@._V1_SX300.jpg","N/A","6.7","126","tt0239583","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"73-2001","tt0207112","Uma HistÃ³ria de Futebol",1998,"N/A","20 min","Short, Sport","Paulo Machline","José Roberto Torero, Mauricio Arruda, Paulo Machline","Antônio Fagundes, José Rubens Chachá, Eduardo Santos","This movie tells the fictional account from Pelé's childhood as told by a childhood friend. The script is loosely based on testimonials from Aziz Adib Naufal.","N/A","Brazil","Nominated for 1 Oscar. 8 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTA3NTA2NDg1NzFeQTJeQWpwZ15BbWU3MDg0NTQwNTY@._V1_SX300.jpg","N/A","7.1","177","tt0207112","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"73-2001","tt0262758","Seraglio",2000,"N/A","14 min","Short, Comedy, Romance","Colin Campbell, Gail Lerner","Colin Campbell, Gail Lerner","Debra Christofferson, Anthony Burch, Michael Erger","Georgia discovers a love note in her garden with the mysterious word ""Seraglio.""","English","United States","Nominated for 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BYzg3NTExOTUtNmMzZC00ZDBjLThlMjUtOTg0OTc3NTRkMzBmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjY5MDYxMA@@._V1_SX300.jpg","N/A","7.0","88","tt0262758","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"73-2001","tt0278378","By Courier",2001,"N/A","13 min","Short","Peter Riegert","O. Henry, Peter Riegert","Garret Dillahunt, Claire Lautier, Joey Temperini","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.5","64","tt0278378","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"74-2002","tt0182014","Copy Shop",2001,"N/A","12 min","Drama, Short, Comedy","Virgil Widrich","Virgil Widrich","Johannes Silberschneider, Elisabeth Ebner-Haid","Unknowingly, a copy shop employee sets off a bizarre series of events with utterly unforeseen consequences.","None","Austria","Nominated for 1 Oscar. 31 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BNjE2NTczMjE5MF5BMl5BanBnXkFtZTYwOTk5Mjg5._V1_SX300.jpg","N/A","7.5","1,723","tt0182014","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"74-2002","tt0269899","Speed for Thespians",2000,"TV-PG","28 min","Drama, Short, Comedy","Kalman Apple","Kalman Apple, Anton Chekhov","Jamie Harris, Camilla Enders, Denis Holmes","Three actors and a director perform Chekhov's The Bear on a New York City bus (actually, a succession of buses, as they keep getting thrown off). The other riders on the final bus get progressively more interested.","English","United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTEwMjEyNjMyM15BMl5BanBnXkFtZTgwOTE1OTk1MDE@._V1_SX300.jpg","N/A","7.6","104","tt0269899","movie",NA,NA,NA,NA,"7.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"74-2002","tt0303336","Fifty Percent Grey",2001,"N/A","3 min","Animation, Short, Comedy","Ruairi Robinson","Ruairi Robinson","N/A","Sergeant wakes up alone with only a widescreen TV for company, in a place designed for him to relax in peace and tranquility, for all eternity...","English","Ireland","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BYTI5ZjIyZmEtNTg2Yy00OTUyLTllMGMtZDNjOWU2NWE4NjVmXkEyXkFqcGdeQXVyMzU3MDU3NjI@._V1_SX300.jpg","N/A","6.7","1,215","tt0303336","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"74-2002","tt0304107","Gregor's Greatest Invention",2001,"N/A","11 min","Short, Comedy, Adventure","Johannes Kiefer","Johannes Kiefer","Alexander Beyer, Christel Peters, Ruth Nimbach","Gregor, a young man, lives with and cares for his elderly grandmother. He's also a bit of an inventor. One day, when her wheelchair accidentally rolls down a hill and throws her into a pond, he gets an idea for an invention: A harnes","German","Germany","Nominated for 1 Oscar. 7 wins & 2 nominations total","N/A","N/A","7.2","160","tt0304107","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"74-2002","tt0304394","A Man Thing",2001,"N/A","26 min","Drama, Short","Slawomir Fabicki","Slawomir Fabicki","Bartosz Idczak, Mariusz Jakus, Marek Bielecki","13-year-old Bartek tries desperately to hide the fact that his father beats him. Lonely and with no support from his mother or his school, tyrannised by his soccer coach, the boy finds his only friend in an old dying stray dog.","Polish","Poland","Nominated for 1 Oscar. 17 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BZTdmOTZhM2EtMjI0OC00YjI2LWIwYTAtNDU5NzBhN2IxN2JmXkEyXkFqcGdeQXVyNDc4MDgzMzY@._V1_SX300.jpg","N/A","7.8","501","tt0304394","movie",NA,NA,NA,NA,"7.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"74-2002","tt0308317","Give Up Yer Aul Sins",2001,"N/A","5 min","Animation, Short, Comedy","Cathal Gaffney","N/A","Maria McDermottroe","A schoolgirl, interviewed for television, tells a somewhat unconventional version of the story of John the Baptist, which we see illustrated.","English","Ireland","Nominated for 1 Oscar. 5 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMmI1ZmFkZGItYWFmZS00YmNjLTlhNTEtZTA2YjIzZGVhN2VkXkEyXkFqcGdeQXVyNjc1OTEyMTU@._V1_SX300.jpg","N/A","6.0","421","tt0308317","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
